name,prompt,negative_prompt
None,,
Nekomusume,"extremely detailed CG unity 8k wallpaper,art of light novel cover, small breast,loli,cute girl,cat ear,cat tail, original,highres,1girl,arm_up,bag,bangs,blue_eyes,blush,bow,brown_hair,eyes_visible_through_hair,fingernails,hair_ornament,hand_up,long_hair,long_sleeves,looking_at_viewer,parted_lips,puffy_long_sleeves,puffy_sleeves,sailor_collar,school_bag,school_uniform,shirt,simple_background,smile,solo,striped,striped_bow,twintails,upper_body,white_background,white_shirt","lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
Space Robot,"cinematic bust portrait of psychedelic robot from left, head and chest only, exotic alien features, robotic enhancements, desaturated, Tim Hildebrandt, Wayne Barlowe, Bruce Pennington, donato giancola, larry elmore, oil on canvas, masterpiece, trending on artstation, featured on pixiv, cinematic composition, dramatic pose, beautiful lighting, sharp, details, hyper-detailed, HD, HDR, 4K, 8K",
Block Structures Prompt,"Tiny cute isometric temple, soft smooth lighting, soft colors, soft colors, 100mm lens, 3d blender render, trending on polycount, modular constructivism, blue blackground, physically based rendering, centered",watermark
Isometric Rooms Prompt,"Tiny cute isometric living room in a cutaway box, soft smooth lighting, soft colors, purple and blue color scheme, soft colors, 100mm lens, 3d blender render",
Block Structures,"Tiny cute isometric temple, soft smooth lighting, soft colors, soft colors, 100mm lens, 3d blender render, trending on polycount, modular constructivism, blue blackground, physically based rendering, centered",
Cute Creatures,"3d fluffy, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
Sport Team Logo V1,"2d ferocious head, vector illustration, angry eyes, football team emblem logo, 2d flat, centered",
Low Poly Creatures,"kawaii low poly character, 3d isometric render, white background, ambient occlusion, unity engine",
Funky Pop Figurines,"Funko pop figurine, made of plastic, product studio shot, on a white background, diffused lighting, centered",
Story Book Style," behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination, ultra-detailed, illustation, best quality, masterpiece, absurdres, detail face","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
CG style,"by guweiz and wlop and ilya kuvshinov and artgerm and makoto shinkai and studio ghibli, symmetrical eyes, aesthetic, gorgeous, stunning, alluring, attractive, artstation, deviantart, pinterest, digital art, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination, ultra-detailed, illustation, best quality, masterpiece, absurdres, detail face","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
High Quality,,"((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet ,asymmetrical eyes,asymmetrical face,asymmetrical,asymmetry"
High Res and Symmetrical,"ultra-detailed, best quality, masterpiece, absurdres, detail face, symmetrical face, symmetrical eyes","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet, asymmetrical eyes,asymmetrical face,asymmetrical,asymmetry"
3D CG Style,"3D animation,3D render,blender,UE5,UE4,Unreal Engine,Maya ,Zbrush,V-ray, Vray ,Octane ,Arnold ,Cycles ,ray tracing, pixar style","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
Realistic Toy 3D,"Hot Toys, Diorama, Miniature Faking, full body shot, HDR, Unreal Engine 5, Octane Render, Cinematic, 4K ,8K, Natural Lighting, Ray Tracing Global Illumination, Digitally Enhanced, PhotoReal, Hyperdetailed, VFX, High Fidelity","2D illustration,2D Anime, flat design,Adobe Illustrator,SVG, vector graphic ,Children's picture books, crayons, doodles,hand drawing, high saturation, bold outlines, and large color blocks, minimalistic, graphic, modern, geometric, playful, eye-catching, flat-color, sharp, vibrant, contemporary, clean, striking, bright, bold, distinctive, uncomplicated, blocky,Over-exposed photograph, washed out, blown out highlights, lack of detail, hazy, indistinct, too bright, overly light, overexposed, broken arms, wrong reflections,wrong hands, extra fingers, ugly, boring, bad anatomy, ((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))),watermark,lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
